Mot;Pole_Semantique;Domaine_Ecriture;Registre_Tonalite;Profil_Emotionnel;Epoque;Difficulte;Pertinence;Origine_Geographique
procrastination;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;MODERNE_20;0.535;0.00;FRANCAIS
prodigalité;ESPRIT_ET_CARACTERE;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEGATIF_CALME;ROMANTIQUE_19;0.191;0.00;FRANCAIS
précepteur;ESPRIT_ET_CARACTERE;ROMANESQUE;LITTERAIRE_STANDARD;POSITIF_CALME;CLASSIQUE_17_18;0.050;0.00;FRANCAIS
préséance;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;CLASSIQUE_17_18;0.294;0.00;FRANCAIS
pugnace;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEGATIF_EXCITANT;CLASSIQUE_17_18;0.376;0.00;FRANCAIS
pusillanime;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEGATIF_CALME;CLASSIQUE_17_18;0.148;0.00;FRANCAIS
renégat;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEGATIF_EXCITANT;CLASSIQUE_17_18;0.020;0.00;FRANCAIS
sardonique;ESPRIT_ET_CARACTERE;THEATRE;TRAGIQUE_DRAMATIQUE;NEGATIF_CALME;MODERNE_20;0.146;0.00;FRANCAIS
satyre;ESPRIT_ET_CARACTERE;THEATRE;LITTERAIRE_STANDARD;NEGATIF_EXCITANT;MODERNE_20;0.010;0.00;FRANCAIS
sbire;ESPRIT_ET_CARACTERE;THEATRE;ARCHAIQUE_RECHERCHE;NEUTRE;CLASSIQUE_17_18;0.251;0.00;ITALIEN
scabreux;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEGATIF_CALME;CLASSIQUE_17_18;0.030;0.00;FRANCAIS
scrupuleux;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;POSITIF_CALME;CLASSIQUE_17_18;0.050;0.00;FRANCAIS
scélérat;ESPRIT_ET_CARACTERE;ROMANESQUE;TRAGIQUE_DRAMATIQUE;NEGATIF_EXCITANT;MODERNE_20;0.030;0.00;FRANCAIS
sicaire;ESPRIT_ET_CARACTERE;ROMANESQUE;ARCHAIQUE_RECHERCHE;NEUTRE;CLASSIQUE_17_18;0.635;0.00;FRANCAIS
simagrée;ESPRIT_ET_CARACTERE;THEATRE;COMIC_BURLESQUE;NEGATIF_CALME;MODERNE_20;0.388;0.00;FRANCAIS
sourcilleux;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEGATIF_CALME;CLASSIQUE_17_18;0.174;0.00;FRANCAIS
spadassin;ESPRIT_ET_CARACTERE;THEATRE;ARCHAIQUE_RECHERCHE;NEGATIF_EXCITANT;CLASSIQUE_17_18;0.252;0.00;ITALIEN
suzerain;ESPRIT_ET_CARACTERE;ROMANESQUE;ARCHAIQUE_RECHERCHE;NEUTRE;CLASSIQUE_17_18;0.310;0.00;FRANCAIS
sycophante;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;ARCHAIQUE_RECHERCHE;NEGATIF_CALME;CLASSIQUE_17_18;0.779;0.00;FRANCAIS
taciturne;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEGATIF_CALME;CLASSIQUE_17_18;0.040;0.00;FRANCAIS
thuriféraire;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEGATIF_CALME;MODERNE_20;0.366;0.00;FRANCAIS
turpitude;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;TRAGIQUE_DRAMATIQUE;NEUTRE;MODERNE_20;0.317;0.00;FRANCAIS
urbanité;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;POSITIF_CALME;CLASSIQUE_17_18;0.349;0.00;FRANCAIS
valétudinaire;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEGATIF_CALME;CLASSIQUE_17_18;0.445;0.00;FRANCAIS
velléité;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEGATIF_CALME;CLASSIQUE_17_18;0.030;0.00;FRANCAIS
vergogne;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;ARCHAIQUE_RECHERCHE;NEGATIF_CALME;CLASSIQUE_17_18;0.030;0.00;FRANCAIS
viateur;ESPRIT_ET_CARACTERE;ROMANESQUE;ARCHAIQUE_RECHERCHE;NEUTRE;CLASSIQUE_17_18;1.000;0.00;FRANCAIS
vilipender;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;TRAGIQUE_DRAMATIQUE;NEGATIF_EXCITANT;CLASSIQUE_17_18;0.502;0.00;FRANCAIS
vitriolique;ESPRIT_ET_CARACTERE;ROMANESQUE;TRAGIQUE_DRAMATIQUE;NEGATIF_EXCITANT;CLASSIQUE_17_18;0.753;0.00;FRANCAIS
égrotant;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEGATIF_CALME;CLASSIQUE_17_18;0.395;0.00;FRANCAIS
érémitique;ESPRIT_ET_CARACTERE;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEGATIF_CALME;CLASSIQUE_17_18;0.522;0.00;FRANCAIS
aurore;NATURE_ET_COSMOS;POESIE;POETIQUE_LYRIQUE;POSITIF_CALME;CLASSIQUE_17_18;0.010;0.00;FRANCAIS
clair-obscur;ARTS_ET_LANGAGE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;CLASSIQUE_17_18;0.098;0.00;FRANCAIS
coruscant;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;CONTEMPORAIN_21;0.040;0.00;FRANCAIS
crépuscule;NATURE_ET_COSMOS;POESIE;POETIQUE_LYRIQUE;NEGATIF_CALME;ROMANTIQUE_19;0.050;0.00;FRANCAIS
diaphane;NATURE_ET_COSMOS;POESIE;POETIQUE_LYRIQUE;POSITIF_CALME;CLASSIQUE_17_18;0.030;0.00;FRANCAIS
exsangue;SENTIMENTS_ET_PSYCHE;ROMANESQUE;TRAGIQUE_DRAMATIQUE;NEGATIF_CALME;MODERNE_20;0.030;0.00;FRANCAIS
fuligineux;PHILOSOPHIE_ET_IDEES;ROMANESQUE;TRAGIQUE_DRAMATIQUE;NEGATIF_CALME;MODERNE_20;0.124;0.00;FRANCAIS
incandescent;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.070;0.00;FRANCAIS
irisé;NATURE_ET_COSMOS;POESIE;POETIQUE_LYRIQUE;POSITIF_CALME;ROMANTIQUE_19;0.230;0.00;FRANCAIS
luminescence;NATURE_ET_COSMOS;ROMANESQUE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.619;0.00;FRANCAIS
nimbe;ARTS_ET_LANGAGE;ROMANESQUE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.159;0.00;FRANCAIS
opalin;NATURE_ET_COSMOS;POESIE;POETIQUE_LYRIQUE;POSITIF_CALME;ROMANTIQUE_19;0.337;0.00;FRANCAIS
phosphorescence;NATURE_ET_COSMOS;ROMANESQUE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.303;0.00;FRANCAIS
purpurine;ARTS_ET_LANGAGE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.589;0.00;FRANCAIS
pénombre;NATURE_ET_COSMOS;ROMANESQUE;POETIQUE_LYRIQUE;NEGATIF_CALME;CLASSIQUE_17_18;0.030;0.00;FRANCAIS
ténébreux;SENTIMENTS_ET_PSYCHE;ROMANESQUE;TRAGIQUE_DRAMATIQUE;NEUTRE;ROMANTIQUE_19;0.040;0.00;FRANCAIS
vespéral;NATURE_ET_COSMOS;POESIE;POETIQUE_LYRIQUE;NEUTRE;MODERNE_20;0.598;0.00;FRANCAIS
alcyon;NATURE_ET_COSMOS;ROMANESQUE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.210;0.00;FRANCAIS
améthyste;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.339;0.00;FRANCAIS
arachnéen;NATURE_ET_COSMOS;ROMANESQUE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.516;0.00;FRANCAIS
auréole;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.020;0.00;FRANCAIS
azur;NATURE_ET_COSMOS;POESIE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.000;0.00;ARABE
bocage;NATURE_ET_COSMOS;ROMANESQUE;POETIQUE_LYRIQUE;NEUTRE;CLASSIQUE_17_18;0.010;0.00;FRANCAIS
brume;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.000;0.00;FRANCAIS
bucolique;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;CLASSIQUE_17_18;0.140;0.00;FRANCAIS
chrysanthème;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.449;0.00;FRANCAIS
chthonien;NATURE_ET_COSMOS;ROMANESQUE;ARCHAIQUE_RECHERCHE;NEUTRE;CLASSIQUE_17_18;0.961;0.00;FRANCAIS
constellation;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.080;0.00;FRANCAIS
corolle;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.020;0.00;FRANCAIS
céleste;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.020;0.00;FRANCAIS
céruléen;NATURE_ET_COSMOS;POESIE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.251;0.00;FRANCAIS
dryade;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ANTIQUITE;0.359;0.00;FRANCAIS
effluve;NATURE_ET_COSMOS;POESIE;POETIQUE_LYRIQUE;POSITIF_CALME;ROMANTIQUE_19;0.218;0.00;FRANCAIS
empyrée;NATURE_ET_COSMOS;POESIE;POETIQUE_LYRIQUE;POSITIF_CALME;ROMANTIQUE_19;0.210;0.00;FRANCAIS
firmament;NATURE_ET_COSMOS;POESIE;POETIQUE_LYRIQUE;POSITIF_CALME;CLASSIQUE_17_18;0.040;0.00;FRANCAIS
héliotrope;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.358;0.00;FRANCAIS
inflorescence;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;1.000;0.00;FRANCAIS
labyrinthe;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.050;0.00;FRANCAIS
limpide;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;POSITIF_CALME;CLASSIQUE_17_18;0.020;0.00;FRANCAIS
lustral;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;POSITIF_CALME;CLASSIQUE_17_18;0.225;0.00;FRANCAIS
nadir;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;MODERNE_20;0.061;0.00;ARABE
nymphe;NATURE_ET_COSMOS;POESIE;POETIQUE_LYRIQUE;NEUTRE;ANTIQUITE;0.010;0.00;FRANCAIS
nébuleux;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEGATIF_CALME;ROMANTIQUE_19;0.118;0.00;FRANCAIS
ondine;NATURE_ET_COSMOS;POESIE;POETIQUE_LYRIQUE;NEUTRE;ANTIQUITE;0.349;0.00;FRANCAIS
ondée;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;CLASSIQUE_17_18;0.013;0.00;FRANCAIS
oscillation;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.060;0.00;FRANCAIS
parvis;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;CLASSIQUE_17_18;0.010;0.00;FRANCAIS
pistil;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.309;0.00;FRANCAIS
pittoresque;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.060;0.00;FRANCAIS
périgée;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.446;0.00;FRANCAIS
pétale;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.010;0.00;FRANCAIS
pétrichor;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;CONTEMPORAIN_21;0.040;0.00;FRANCAIS
sidéral;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.145;0.00;FRANCAIS
sillage;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.020;0.00;FRANCAIS
solstice;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.030;0.00;FRANCAIS
sylphide;NATURE_ET_COSMOS;POESIE;POETIQUE_LYRIQUE;NEUTRE;ANTIQUITE;0.655;0.00;FRANCAIS
sépale;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;1.000;0.00;FRANCAIS
tumulte;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEGATIF_EXCITANT;ROMANTIQUE_19;0.020;0.00;FRANCAIS
villégiature;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;CLASSIQUE_17_18;0.070;0.00;FRANCAIS
zodiaque;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.253;0.00;FRANCAIS
zénith;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.010;0.00;ARABE
zéphyr;NATURE_ET_COSMOS;POESIE;POETIQUE_LYRIQUE;NEUTRE;CLASSIQUE_17_18;0.282;0.00;FRANCAIS
éolien;NATURE_ET_COSMOS;POESIE;LITTERAIRE_STANDARD;NEUTRE;CLASSIQUE_17_18;0.080;0.00;FRANCAIS
équinoxe;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;CLASSIQUE_17_18;0.030;0.00;FRANCAIS
étamine;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.206;0.00;FRANCAIS
éthéré;NATURE_ET_COSMOS;ROMANESQUE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.365;0.00;FRANCAIS
abscons;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;CLASSIQUE_17_18;0.203;0.00;FRANCAIS
ambiguïté;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;MODERNE_20;0.040;0.00;FRANCAIS
anathème;PHILOSOPHIE_ET_IDEES;ROMANESQUE;TRAGIQUE_DRAMATIQUE;NEGATIF_EXCITANT;MODERNE_20;0.091;0.00;FRANCAIS
apostasie;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;CLASSIQUE_17_18;0.314;0.00;FRANCAIS
casuistique;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;CLASSIQUE_17_18;0.276;0.00;FRANCAIS
chimère;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;NEGATIF_CALME;ROMANTIQUE_19;0.020;0.00;FRANCAIS
conjecture;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;CLASSIQUE_17_18;0.331;0.00;FRANCAIS
contingence;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;CONTEMPORAIN_21;0.415;0.00;FRANCAIS
cryptique;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;MODERNE_20;0.441;0.00;FRANCAIS
dirimant;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;MODERNE_20;0.396;0.00;FRANCAIS
dogme;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.000;0.00;FRANCAIS
haruspice;PHILOSOPHIE_ET_IDEES;ROMANESQUE;ARCHAIQUE_RECHERCHE;NEUTRE;ANTIQUITE;1.000;0.00;FRANCAIS
hermétique;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.050;0.00;FRANCAIS
heuristique;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;MODERNE_20;0.380;0.00;FRANCAIS
imbrication;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;CLASSIQUE_17_18;0.359;0.00;FRANCAIS
immanence;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;CLASSIQUE_17_18;0.557;0.00;FRANCAIS
infrangible;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;CLASSIQUE_17_18;0.463;0.00;FRANCAIS
intrinsèque;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;MODERNE_20;0.219;0.00;FRANCAIS
maxime;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;CLASSIQUE_17_18;0.075;0.00;FRANCAIS
métaphysique;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;CLASSIQUE_17_18;0.070;0.00;FRANCAIS
noumène;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.713;0.00;FRANCAIS
némésis;PHILOSOPHIE_ET_IDEES;ROMANESQUE;TRAGIQUE_DRAMATIQUE;NEGATIF_EXCITANT;MODERNE_20;0.933;0.00;FRANCAIS
obsidional;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;CLASSIQUE_17_18;0.566;0.00;FRANCAIS
onirique;PHILOSOPHIE_ET_IDEES;ROMANESQUE;POETIQUE_LYRIQUE;POSITIF_CALME;MODERNE_20;0.341;0.00;FRANCAIS
ontologie;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;MODERNE_20;0.457;0.00;FRANCAIS
ontologique;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;CLASSIQUE_17_18;0.356;0.00;FRANCAIS
paradigme;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;MODERNE_20;0.389;0.00;FRANCAIS
présage;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;NEGATIF_CALME;CLASSIQUE_17_18;0.020;0.00;FRANCAIS
pythonisse;PHILOSOPHIE_ET_IDEES;ROMANESQUE;ARCHAIQUE_RECHERCHE;NEUTRE;ANTIQUITE;0.493;0.00;FRANCAIS
quintessence;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;MODERNE_20;0.073;0.00;FRANCAIS
scholastique;PHILOSOPHIE_ET_IDEES;ROMANESQUE;ARCHAIQUE_RECHERCHE;NEUTRE;ANTIQUITE;1.000;0.00;FRANCAIS
sibyllin;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;MODERNE_20;0.030;0.00;FRANCAIS
solipsisme;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.592;0.00;FRANCAIS
sophisme;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;CLASSIQUE_17_18;0.428;0.00;FRANCAIS
stigmate;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;NEGATIF_CALME;CLASSIQUE_17_18;0.360;0.00;FRANCAIS
stoïque;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;POSITIF_CALME;CLASSIQUE_17_18;0.083;0.00;FRANCAIS
substantifique;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;CLASSIQUE_17_18;0.556;0.00;FRANCAIS
syllogisme;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;CLASSIQUE_17_18;0.571;0.00;FRANCAIS
syncrétisme;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;CLASSIQUE_17_18;0.571;0.00;FRANCAIS
synesthésie;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;POSITIF_EXCITANT;MODERNE_20;0.473;0.00;FRANCAIS
sérendipité;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;CONTEMPORAIN_21;0.441;0.00;ANGLAIS
thaumaturge;PHILOSOPHIE_ET_IDEES;ROMANESQUE;ARCHAIQUE_RECHERCHE;POSITIF_EXCITANT;ANTIQUITE;0.379;0.00;FRANCAIS
transcendance;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;POSITIF_CALME;ROMANTIQUE_19;0.325;0.00;FRANCAIS
truisme;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;MODERNE_20;0.393;0.00;ANGLAIS
téléologique;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;CLASSIQUE_17_18;0.571;0.00;FRANCAIS
éclectisme;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;CLASSIQUE_17_18;0.576;0.00;FRANCAIS
énigmatique;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;NEGATIF_CALME;CLASSIQUE_17_18;0.060;0.00;FRANCAIS
épicurien;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;POSITIF_CALME;MODERNE_20;0.177;0.00;FRANCAIS
ésotérique;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;CLASSIQUE_17_18;0.178;0.00;FRANCAIS
abattement;SENTIMENTS_ET_PSYCHE;ROMANESQUE;TRAGIQUE_DRAMATIQUE;NEGATIF_CALME;ROMANTIQUE_19;0.050;0.00;FRANCAIS
abnégation;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;POSITIF_CALME;CLASSIQUE_17_18;0.050;0.00;FRANCAIS
aboulie;SENTIMENTS_ET_PSYCHE;ROMANESQUE;ARCHAIQUE_RECHERCHE;NEGATIF_CALME;CLASSIQUE_17_18;0.525;0.00;FRANCAIS
accablement;SENTIMENTS_ET_PSYCHE;ROMANESQUE;TRAGIQUE_DRAMATIQUE;NEGATIF_CALME;CLASSIQUE_17_18;0.060;0.00;FRANCAIS
affliction;SENTIMENTS_ET_PSYCHE;ROMANESQUE;TRAGIQUE_DRAMATIQUE;NEGATIF_CALME;ROMANTIQUE_19;0.050;0.00;FRANCAIS
alacrité;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;POSITIF_EXCITANT;CLASSIQUE_17_18;0.201;0.00;FRANCAIS
allégresse;SENTIMENTS_ET_PSYCHE;ROMANESQUE;POETIQUE_LYRIQUE;POSITIF_EXCITANT;ROMANTIQUE_19;0.050;0.00;FRANCAIS
anémie;SENTIMENTS_ET_PSYCHE;ROMANESQUE;TRAGIQUE_DRAMATIQUE;NEGATIF_CALME;MODERNE_20;0.090;0.00;FRANCAIS
apathie;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEGATIF_CALME;ROMANTIQUE_19;0.020;0.00;FRANCAIS
ataraxie;SENTIMENTS_ET_PSYCHE;ESSAI_PHILOSOPHIQUE;POETIQUE_LYRIQUE;NEUTRE;ANTIQUITE;0.626;0.00;FRANCAIS
atone;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEGATIF_CALME;CLASSIQUE_17_18;0.092;0.00;FRANCAIS
bannissement;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEGATIF_CALME;CLASSIQUE_17_18;0.161;0.00;FRANCAIS
chagrin;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEGATIF_CALME;CLASSIQUE_17_18;0.020;0.00;FRANCAIS
claustration;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEGATIF_CALME;CLASSIQUE_17_18;0.211;0.00;FRANCAIS
commisération;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEGATIF_CALME;CLASSIQUE_17_18;0.080;0.00;FRANCAIS
concorde;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;POSITIF_CALME;CLASSIQUE_17_18;0.030;0.00;FRANCAIS
consternation;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEGATIF_EXCITANT;CLASSIQUE_17_18;0.080;0.00;FRANCAIS
courroux;SENTIMENTS_ET_PSYCHE;THEATRE;TRAGIQUE_DRAMATIQUE;NEGATIF_EXCITANT;CLASSIQUE_17_18;0.030;0.00;FRANCAIS
