Mot;Difficulté;Score_C3;Buzz_Score;Trend_Ratio;Pageviews_Total;Recency_Score;Orality_Score;Catégorie_Source;Définition
biff;Expert;0.625;0.30;0.86;244;0.80;0.90;Termes argotiques en français;
incel;Expert;0.625;0.30;0.20;10451;0.80;0.90;Argot Internet en français;
vergeot;Expert;0.625;0.30;0.73;19;0.80;0.90;Termes argotiques en français;
report;Intermédiaire;0.605;0.20;0.44;1222;1.00;0.70;Termes argotiques en français;
100 balles et un Mars;Expert;0.585;0.20;0.56;138;0.80;0.90;Termes populaires en français;
@+;Expert;0.585;0.20;0.11;196;0.80;0.90;Argot Internet en français;
egg;Expert;0.585;0.20;0.49;1624;0.80;0.90;Termes argotiques en français;
je veux;Expert;0.585;0.20;0.50;59;0.80;0.90;Termes populaires en français;
mettre le paquet;Expert;0.585;0.20;0.47;1415;0.80;0.90;Termes familiers en français;
newsjacking;Expert;0.585;0.20;0.58;11;0.80;0.90;Néologismes en français;
doomerisme;Expert;0.585;0.20;0.48;34;0.80;0.90;Argot Internet en français;
bourreur de crâne;Expert;0.585;0.20;0.27;6;0.80;0.90;Termes populaires en français;
réchauffiste;Expert;0.585;0.20;0.69;198;0.80;0.90;Néologismes en français;
se casser le train;Expert;0.585;0.20;0.67;21;0.80;0.90;Termes populaires en français;
technofasciste;Expert;0.585;0.20;0.67;24;0.80;0.90;Néologismes en français;
36;Expert;0.585;0.20;0.50;410;0.80;0.90;Termes argotiques en français;
doomer;Expert;0.585;0.20;0.66;1031;0.80;0.90;Argot Internet en français;
lèche-train;Expert;0.585;0.20;0.49;26;0.80;0.90;Termes populaires en français;
su’;Expert;0.585;0.20;0.62;117;0.80;0.90;Termes populaires en français;
surpartager;Expert;0.585;0.20;0.60;13;0.80;0.90;Argot Internet en français;
celleux;Expert;0.585;0.20;0.50;2287;0.80;0.90;Néologismes en français;
xénopréhension;Expert;0.585;0.20;0.33;14;0.80;0.90;Néologismes en français;
nom d’un sabre;Expert;0.585;0.20;0.50;5;0.80;0.90;Termes populaires en français;
pænser;Expert;0.585;0.20;0.29;77;0.80;0.90;Néologismes en français;
endothécium;Expert;0.585;0.20;0.54;33;0.80;0.90;Termes populaires en français;
voisaine;Expert;0.585;0.20;0.69;132;0.80;0.90;Néologismes en français;
Nicolas;Expert;0.585;0.20;0.45;1439;0.80;0.90;Argot Internet en français;
gagner son bœuf;Expert;0.585;0.20;0.50;15;0.80;0.90;Termes populaires en français;
c’est un peu gros;Expert;0.585;0.20;0.10;25;0.80;0.90;Termes populaires en français;
M/M;Expert;0.585;0.20;0.44;33;0.80;0.90;Argot Internet en français;
pow-pow;Expert;0.585;0.20;0.10;23;0.80;0.90;Néologismes en français;
manque de pot;Expert;0.585;0.20;0.46;117;0.80;0.90;Termes populaires en français;
chaussurage;Expert;0.585;0.20;0.06;12;0.80;0.90;Néologismes en français;
shipper;Expert;0.585;0.20;0.69;148;0.80;0.90;Argot Internet en français;
Mx;Expert;0.585;0.20;0.52;393;0.80;0.90;Néologismes en français;
dédiabolisation;Expert;0.585;0.20;0.49;213;0.80;0.90;Néologismes en français;
se débiner;Expert;0.585;0.20;0.38;615;0.80;0.90;Termes populaires en français;
poto;Expert;0.585;0.20;0.37;3434;0.80;0.90;Termes argotiques en français;
c’est quelqu’un;Expert;0.585;0.20;0.36;207;0.80;0.90;Termes familiers en français;
unxe;Expert;0.585;0.20;0.14;23;0.80;0.90;Néologismes en français;
jmp;Expert;0.585;0.20;0.24;138;0.80;0.90;Argot Internet en français;
t’inquiète;Expert;0.585;0.20;0.32;4705;0.80;0.90;Termes populaires en français;
-z;Expert;0.585;0.20;0.56;272;0.80;0.90;Néologismes en français;
token;Expert;0.585;0.20;0.57;1614;0.80;0.90;Termes argotiques en français;
collage programmatique;Expert;0.585;0.20;0.21;18;0.80;0.90;Néologismes en français;
bouquet mystère;Expert;0.585;0.20;0.22;1783;0.80;0.90;Termes populaires en français;
fierx;Expert;0.585;0.20;0.29;18;0.80;0.90;Néologismes en français;
chialard;Expert;0.585;0.20;0.64;36;0.80;0.90;Termes populaires en français;
prêx;Expert;0.585;0.20;0.30;48;0.80;0.90;Néologismes en français;
torchage;Expert;0.585;0.20;0.44;98;0.80;0.90;Termes populaires en français;
défenseureuse;Expert;0.585;0.20;0.13;24;0.80;0.90;Néologismes en français;
salam 3alaykom;Expert;0.585;0.20;0.53;42;0.80;0.90;Argot Internet en français;
quand c’est que;Expert;0.585;0.20;0.42;57;0.80;0.90;Termes populaires en français;
ruine-ménage;Expert;0.585;0.20;0.67;25;0.80;0.90;Termes populaires en français;
soucieuz;Expert;0.585;0.20;0.16;43;0.80;0.90;Néologismes en français;
coup d’arrosoir;Expert;0.585;0.20;0.50;15;0.80;0.90;Termes argotiques en français;
-an;Expert;0.585;0.20;0.30;854;0.80;0.90;Néologismes en français;
àvha;Expert;0.585;0.20;0.36;103;0.80;0.90;Argot Internet en français;
boîtard;Expert;0.585;0.20;0.63;219;0.80;0.90;Termes argotiques en français;
tatasser;Expert;0.585;0.20;0.54;570;0.80;0.90;Termes populaires en français;
électeurice;Expert;0.585;0.20;0.23;27;0.80;0.90;Néologismes en français;
cherrant;Expert;0.585;0.20;0.41;70;0.80;0.90;Termes populaires en français;
transacter;Expert;0.585;0.20;0.28;209;0.80;0.90;Néologismes en français;
tékaté;Expert;0.585;0.20;0.27;67;0.80;0.90;Argot Internet en français;
feuille de chou;Expert;0.585;0.20;0.52;1835;0.80;0.90;Termes argotiques en français;
cig;Expert;0.585;0.20;0.24;494;0.80;0.90;Termes populaires en français;
sociologisme;Expert;0.585;0.20;0.39;74;0.80;0.90;Néologismes en français;
gâté-pourri;Expert;0.585;0.20;0.61;58;0.80;0.90;Termes populaires en français;
prosélytat;Expert;0.585;0.20;0.62;36;0.80;0.90;Néologismes en français;
merdifier;Expert;0.585;0.20;0.41;72;0.80;0.90;Néologismes en français;
bégayeux;Expert;0.585;0.20;0.52;16;0.80;0.90;Termes populaires en français;
descendez on vous demande;Expert;0.585;0.20;0.64;31;0.80;0.90;Termes populaires en français;
pougnette;Expert;0.585;0.20;0.45;2744;0.80;0.90;Termes familiers en français;
br;Expert;0.585;0.20;0.36;2931;0.80;0.90;Termes argotiques en français;
teuf;Expert;0.585;0.20;0.53;1868;0.80;0.90;Termes populaires en français;
hyn;Expert;0.585;0.20;0.21;3172;0.80;0.90;Argot Internet en français;
CDIser;Expert;0.585;0.20;0.37;372;0.80;0.90;Néologismes en français;
cédéisation;Expert;0.585;0.20;0.62;364;0.80;0.90;Néologismes en français;
visualizer;Expert;0.585;0.20;0.00;15;0.80;0.90;Termes argotiques en français;
foigne;Expert;0.585;0.20;0.28;33;0.80;0.90;Termes argotiques en français;
morphonyme;Expert;0.585;0.20;0.57;124;0.80;0.90;Néologismes en français;
bobinarde;Expert;0.585;0.20;0.00;7;0.80;0.90;Termes argotiques en français;
communotechnie;Expert;0.585;0.20;0.17;39;0.80;0.90;Néologismes en français;
Youtube money;Expert;0.585;0.20;0.00;13;0.80;0.90;Argot Internet en français;
go;Débutant;0.575;0.30;0.44;5729;0.80;0.70;Termes argotiques en français;
dwich;Expert;0.575;0.00;0.00;0;1.00;0.90;Graines de référence;
mistouflet;Expert;0.575;0.00;0.00;0;1.00;0.90;Termes argotiques en français;
6néma;Expert;0.575;0.00;0.00;0;1.00;0.90;Argot Internet en français;
ça pique;Expert;0.575;0.00;0.00;0;1.00;0.90;Termes familiers en français;
vin de lune;Expert;0.575;0.00;0.00;0;1.00;0.90;Termes populaires en français;
mort-ivre;Expert;0.575;0.00;0.00;0;1.00;0.90;Termes familiers en français;
zhomme;Expert;0.575;0.00;0.00;0;1.00;0.90;Argot Internet en français;
la question est vite répondue;Expert;0.575;0.00;0.00;0;1.00;0.90;Termes populaires en français;
kokushobi;Expert;0.575;0.00;0.00;0;1.00;0.90;Néologismes en français;
craspèque;Expert;0.575;0.00;0.00;0;1.00;0.90;Termes populaires en français;
résultat des courses;Expert;0.575;0.00;0.00;0;1.00;0.90;Termes familiers en français;
capitalocène;Expert;0.575;0.00;0.00;0;1.00;0.90;Néologismes en français;
en plein cagnar;Expert;0.575;0.00;0.00;0;1.00;0.90;Termes familiers en français;
maintenancienne;Expert;0.575;0.00;0.00;0;1.00;0.90;Néologismes en français;
passoid;Expert;0.575;0.00;0.00;0;1.00;0.90;Argot Internet en français;
raide comme un canon de fusil;Expert;0.575;0.00;0.00;0;1.00;0.90;Termes populaires en français;
fauxtochtone;Expert;0.575;0.00;0.00;0;1.00;0.90;Néologismes en français;
theyfab;Expert;0.575;0.00;0.00;0;1.00;0.90;Argot Internet en français;
partisan.e;Expert;0.575;0.00;0.00;0;1.00;0.90;Néologismes en français;
gueule de vache;Expert;0.575;0.00;0.00;0;1.00;0.90;Termes argotiques en français;
être sur l’œil;Expert;0.575;0.00;0.00;0;1.00;0.90;Termes argotiques en français;
marcher au radar;Expert;0.575;0.00;0.00;0;1.00;0.90;Termes familiers en français;
de première bourre;Expert;0.575;0.00;0.00;0;1.00;0.90;Termes argotiques en français;
passer sous les radars;Expert;0.575;0.00;0.00;0;1.00;0.90;Termes familiers en français;
chier la colonne;Expert;0.575;0.00;0.00;0;1.00;0.90;Termes argotiques en français;
emmerement;Expert;0.575;0.00;0.00;0;1.00;0.90;Néologismes en français;
égotrip;Expert;0.575;0.00;0.00;0;1.00;0.90;Termes familiers en français;
observataire;Expert;0.575;0.00;0.00;0;1.00;0.90;Néologismes en français;
avoir à la caille;Expert;0.575;0.00;0.00;0;1.00;0.90;Termes argotiques en français;
egotrip;Expert;0.575;0.00;0.00;0;1.00;0.90;Termes familiers en français;
péchotage;Expert;0.575;0.00;0.00;0;1.00;0.90;Termes argotiques en français;
nervouzzi;Expert;0.575;0.00;0.00;0;1.00;0.90;Termes populaires en français;
Catakit;Expert;0.575;0.00;0.00;0;1.00;0.90;Néologismes en français;
zœil;Expert;0.575;0.00;0.00;0;1.00;0.90;Termes familiers en français;
darijophone;Expert;0.575;0.00;0.00;0;1.00;0.90;Néologismes en français;
zyeu;Expert;0.575;0.00;0.00;0;1.00;0.90;Termes familiers en français;
discopuff;Expert;0.575;0.00;0.00;0;1.00;0.90;Néologismes en français;
se faire la paire;Expert;0.575;0.00;0.00;0;1.00;0.90;Termes argotiques en français;
ne pas perdre une minute;Expert;0.575;0.00;0.00;0;1.00;0.90;Termes familiers en français;
cellulard;Expert;0.575;0.00;0.00;0;1.00;0.90;Termes argotiques en français;
mal de ventre;Expert;0.575;0.00;0.00;0;1.00;0.90;Termes familiers en français;
intelliphone;Expert;0.575;0.00;0.00;0;1.00;0.90;Néologismes en français;
bête à chagrin;Expert;0.575;0.00;0.00;0;1.00;0.90;Termes argotiques en français;
futéphone;Expert;0.575;0.00;0.00;0;1.00;0.90;Néologismes en français;
filusi;Expert;0.575;0.00;0.00;0;1.00;0.90;Termes argotiques en français;
stage kébab;Expert;0.575;0.00;0.00;0;1.00;0.90;Termes familiers en français;
stage kebab;Expert;0.575;0.00;0.00;0;1.00;0.90;Termes familiers en français;
hugboxxing;Expert;0.575;0.00;0.00;0;1.00;0.90;Termes argotiques en français;
chef à plumes;Expert;0.575;0.00;0.00;0;1.00;0.90;Termes familiers en français;
dictadouce;Expert;0.575;0.00;0.00;0;1.00;0.90;Néologismes en français;
crufiture;Expert;0.575;0.00;0.00;0;1.00;0.90;Néologismes en français;
trans chaser;Expert;0.575;0.00;0.00;0;1.00;0.90;Termes argotiques en français;
picsou;Intermédiaire;0.560;0.20;0.38;624;0.80;0.80;Termes familiers en français;
boulonnage;Expert;0.560;0.20;0.45;116;0.80;0.80;Termes argotiques en français;
clitoris;Intermédiaire;0.530;0.20;0.41;3874;1.00;0.40;Termes familiers en français;
être à voile et à vapeur;Expert;0.515;0.20;0.39;835;0.60;0.90;Termes populaires en français;
techno-oligarque;Expert;0.505;0.00;0.00;0;0.80;0.90;Néologismes en français;
de ses morts;Expert;0.505;0.00;0.00;0;0.80;0.90;Termes argotiques en français;
jouer de la mandoline;Expert;0.505;0.00;0.00;0;0.80;0.90;Termes argotiques en français;
tricolorite;Expert;0.505;0.00;0.00;0;0.80;0.90;Termes familiers en français;
avoir le boyau de la rigolade;Expert;0.505;0.00;0.00;0;0.80;0.90;Termes argotiques en français;
Cotorep;Expert;0.505;0.00;0.00;0;0.80;0.90;Termes familiers en français;
touche de piano;Expert;0.505;0.00;0.00;0;0.80;0.90;Termes argotiques en français;
américanoïde;Expert;0.505;0.00;0.00;0;0.80;0.90;Termes familiers en français;
voir le tableau;Expert;0.505;0.00;0.00;0;0.80;0.90;Termes familiers en français;
épouser un vieux qui crache jaune;Expert;0.505;0.00;0.00;0;0.80;0.90;Termes argotiques en français;
sauve-la-vie;Expert;0.505;0.00;0.00;0;0.80;0.90;Termes familiers en français;
pécu;Expert;0.505;0.00;0.00;0;0.80;0.90;Termes familiers en français;
party de saucisses;Expert;0.505;0.00;0.00;0;0.80;0.90;Termes familiers en français;
Bériz;Expert;0.505;0.00;0.00;0;0.80;0.90;Termes argotiques en français;
mitague;Expert;0.505;0.00;0.00;0;0.80;0.90;Termes familiers en français;
mettre à cul;Expert;0.505;0.00;0.00;0;0.80;0.90;Termes familiers en français;
paluchette;Expert;0.505;0.00;0.00;0;0.80;0.90;Termes argotiques en français;
fusil d’argent;Expert;0.505;0.00;0.00;0;0.80;0.90;Termes familiers en français;
coucou-le-voilà;Expert;0.505;0.00;0.00;0;0.80;0.90;Termes familiers en français;
frick;Expert;0.505;0.00;0.00;0;0.80;0.90;Termes argotiques en français;
cap’ de vau;Expert;0.505;0.00;0.00;0;0.80;0.90;Termes familiers en français;
eau d’aff;Expert;0.505;0.00;0.00;0;0.80;0.90;Termes argotiques en français;
au quart de poil;Expert;0.505;0.00;0.00;0;0.80;0.90;Termes familiers en français;
ne pas être cochon;Expert;0.505;0.00;0.00;0;0.80;0.90;Termes familiers en français;
être cochon;Expert;0.505;0.00;0.00;0;0.80;0.90;Termes familiers en français;
charcleur;Expert;0.505;0.00;0.00;0;0.80;0.90;Termes argotiques en français;
pour l’anecdote;Expert;0.505;0.00;0.00;0;0.80;0.90;Termes familiers en français;
bavasserie;Expert;0.505;0.00;0.00;0;0.80;0.90;Termes familiers en français;
bête à manger du son;Expert;0.505;0.00;0.00;0;0.80;0.90;Termes familiers en français;
petit rigolo;Expert;0.505;0.00;0.00;0;0.80;0.90;Termes familiers en français;
bête comme la lune;Expert;0.505;0.00;0.00;0;0.80;0.90;Termes familiers en français;
se prendre le bec;Expert;0.505;0.00;0.00;0;0.80;0.90;Termes familiers en français;
brouter la tige;Expert;0.505;0.00;0.00;0;0.80;0.90;Termes argotiques en français;
à pouffer de rire;Expert;0.505;0.00;0.00;0;0.80;0.90;Termes familiers en français;
heps;Expert;0.505;0.00;0.00;0;0.80;0.90;Termes argotiques en français;
coup de pied au derche;Expert;0.505;0.00;0.00;0;0.80;0.90;Termes familiers en français;
à crever de rire;Expert;0.505;0.00;0.00;0;0.80;0.90;Termes familiers en français;
dépioter;Expert;0.505;0.00;0.00;0;0.80;0.90;Termes familiers en français;
coupe-ficelle;Expert;0.505;0.00;0.00;0;0.80;0.90;Termes argotiques en français;
louchard;Expert;0.505;0.00;0.00;0;0.80;0.90;Termes argotiques en français;
ceux qui savent, savent;Expert;0.505;0.00;0.00;0;0.80;0.90;Termes familiers en français;
zillionième;Expert;0.505;0.00;0.00;0;0.80;0.90;Termes familiers en français;
jittari ficateddi;Expert;0.505;0.00;0.00;0;0.80;0.90;Termes familiers en français;
fête du mouton;Expert;0.505;0.00;0.00;0;0.80;0.90;Termes familiers en français;
tomber en carafe;Expert;0.505;0.00;0.00;0;0.80;0.90;Termes familiers en français;
le roi n’est pas plus content;Expert;0.505;0.00;0.00;0;0.80;0.90;Termes familiers en français;
fissa;Débutant;0.495;0.30;0.51;5465;1.00;0.10;Graines de référence;
bader;Expert;0.495;0.30;0.37;5354;1.00;0.10;Graines de référence;
flemme;Intermédiaire;0.495;0.30;0.57;5009;1.00;0.10;Graines de référence;
daron;Intermédiaire;0.495;0.30;0.20;20977;1.00;0.10;Graines de référence;
daronne;Intermédiaire;0.495;0.30;0.26;16688;1.00;0.10;Graines de référence;
balle;Débutant;0.495;0.30;0.51;5002;1.00;0.10;Termes argotiques en français;
pain;Débutant;0.465;0.40;0.77;8116;0.80;0.10;Néologismes en français;
cacahuète;Intermédiaire;0.460;0.20;0.46;3402;0.80;0.40;Termes populaires en français;
tulipe;Intermédiaire;0.460;0.20;0.60;1977;0.80;0.40;Termes argotiques en français;
grave;Débutant;0.455;0.20;0.49;4414;1.00;0.10;Graines de référence;
stylé;Intermédiaire;0.455;0.20;0.35;1382;1.00;0.10;Graines de référence;
des;Débutant;0.455;0.20;0.40;4987;1.00;0.10;Termes populaires en français;
ressaut;Intermédiaire;0.455;0.20;0.53;1261;1.00;0.10;Termes argotiques en français;
rogomme;Intermédiaire;0.455;0.20;0.69;1616;1.00;0.10;Termes populaires en français;
inter;Intermédiaire;0.455;0.20;0.57;1794;1.00;0.10;Termes populaires en français;
botte;Débutant;0.455;0.20;0.40;3577;1.00;0.10;Termes argotiques en français;
classe;Débutant;0.455;0.20;0.49;3934;1.00;0.10;Termes populaires en français;
baguette;Débutant;0.455;0.20;0.50;3353;1.00;0.10;Termes argotiques en français;
arbre;Débutant;0.425;0.30;0.39;7236;0.80;0.10;Argot Internet en français;
tarin;Intermédiaire;0.425;0.30;0.61;5214;0.80;0.10;Termes populaires en français;
esprit;Débutant;0.425;0.30;0.52;6332;0.80;0.10;Termes populaires en français;
piffé;Expert;0.425;0.30;0.71;32;0.80;0.10;Termes populaires en français;
manipulant;Intermédiaire;0.425;0.30;0.98;98;0.80;0.10;Termes populaires en français;
osef;Expert;0.415;0.30;0.55;5600;0.20;0.90;Argot Internet en français;
sorbonne;Intermédiaire;0.385;0.20;0.44;498;0.80;0.10;Termes argotiques en français;
ramasse-miettes;Intermédiaire;0.385;0.20;0.48;384;0.80;0.10;Termes argotiques en français;
boubou;Intermédiaire;0.385;0.20;0.56;1394;0.80;0.10;Termes argotiques en français;
débiner;Intermédiaire;0.385;0.20;0.60;1421;0.80;0.10;Termes populaires en français;
garage;Débutant;0.385;0.20;0.42;2289;0.80;0.10;Termes argotiques en français;
noix;Débutant;0.385;0.20;0.43;2513;0.80;0.10;Argot Internet en français;
tapis;Débutant;0.385;0.20;0.42;3106;0.80;0.10;Termes argotiques en français;
consoler;Débutant;0.385;0.20;0.54;1433;0.80;0.10;Termes argotiques en français;
vache;Débutant;0.385;0.20;0.46;4925;0.80;0.10;Termes populaires en français;
sub;Intermédiaire;0.385;0.20;0.63;2057;0.80;0.10;Argot Internet en français;
pilotis;Intermédiaire;0.385;0.20;0.47;899;0.80;0.10;Termes argotiques en français;
sape;Débutant;0.385;0.20;0.43;2864;0.80;0.10;Termes populaires en français;
fer;Débutant;0.385;0.20;0.51;3788;0.80;0.10;Termes populaires en français;
souffleur;Intermédiaire;0.385;0.20;0.32;565;0.80;0.10;Termes argotiques en français;
gargote;Intermédiaire;0.385;0.20;0.59;2485;0.80;0.10;Termes populaires en français;
mille-pattes;Intermédiaire;0.385;0.20;0.20;2447;0.80;0.10;Termes familiers en français;
rat;Débutant;0.385;0.20;0.50;4732;0.80;0.10;Termes populaires en français;
lame;Débutant;0.385;0.20;0.45;3313;0.80;0.10;Termes populaires en français;
dupe;Débutant;0.385;0.20;0.54;2080;0.80;0.10;Néologismes en français;
fourchette;Débutant;0.385;0.20;0.39;2127;0.80;0.10;Termes populaires en français;
piot;Intermédiaire;0.385;0.20;0.53;2185;0.80;0.10;Termes populaires en français;
grelot;Intermédiaire;0.385;0.20;0.46;1530;0.80;0.10;Termes argotiques en français;
paf;Intermédiaire;0.215;0.30;0.59;15857;0.20;0.10;Termes familiers en français;
