Mot;Score_C4;Morpho_Score;Zipf;Source;Définition
abluant;0.525;0.65;0.00;Mots insolites;
acampte;0.525;0.65;0.00;Mots insolites;
barreau;0.505;0.45;3.60;LGBT & Orientations;
6genre;0.500;0.60;0.00;Mots insolites;
à volo;0.500;0.60;0.00;Mots insolites;
abadie;0.500;0.60;0.00;Mots insolites;
abadis;0.500;0.60;0.00;Mots insolites;
abluer;0.500;0.60;0.00;Mots insolites;
abrute;0.500;0.60;0.00;Mots insolites;
achrien;0.500;0.60;0.00;LGBT & Orientations;
air sex;0.500;0.60;0.00;LGBT & Orientations;
algolagnie;0.500;0.60;0.00;LGBT & Orientations;
andromaque;0.500;0.60;0.00;LGBT & Orientations;
anilinctus;0.500;0.60;0.00;LGBT & Orientations;
arpenteuse;0.500;0.60;0.00;LGBT & Orientations;
asexuel;0.500;0.60;0.00;LGBT & Orientations;
audio porn;0.500;0.60;0.00;LGBT & Orientations;
bien monté;0.500;0.60;0.00;LGBT & Orientations;
bondageuse;0.500;0.60;0.00;LGBT & Orientations;
lucifuge;0.500;0.60;0.00;Graine de référence;
cisgenre;0.500;0.60;0.00;Graine de référence;
autoroute;0.497;0.65;4.14;Genre Grammatical Confus;Voie de circulation rapide à chaussées séparées (parfois confondue au masculin par les apprenants).
ébène;0.495;0.45;3.65;Genre Grammatical Confus;Bois précieux très noir et lourd (souvent confondu avec le masculin : une ébène).
armistice;0.490;0.65;4.17;Genre Grammatical Confus;Convention suspendant les hostilités (souvent confondu avec le féminin : un armistice).
éloge;0.477;0.45;3.74;Genre Grammatical Confus;Discours de louange (souvent confondu avec le féminin : un éloge).
100ne;0.475;0.55;0.00;Mots insolites;
abave;0.475;0.55;0.00;Mots insolites;
-able;0.475;0.55;0.00;Mots insolites;
abled;0.475;0.55;0.00;Mots insolites;
abŷme;0.475;0.55;0.00;Mots insolites;
amourerie;0.475;0.55;0.00;LGBT & Orientations;
ampallang;0.475;0.55;0.00;LGBT & Orientations;
anilingus;0.475;0.55;0.00;LGBT & Orientations;
anulingus;0.475;0.55;0.00;LGBT & Orientations;
bande-mou;0.475;0.55;0.00;LGBT & Orientations;
bondageur;0.475;0.55;0.00;LGBT & Orientations;
alcôve;0.473;0.40;3.64;LGBT & Orientations;
oasis;0.463;0.45;3.81;Genre Grammatical Confus;Lieu de végétation dans un désert (souvent confondu avec le masculin : une oasis).
orbite;0.463;0.50;3.93;Genre Grammatical Confus;Trajectoire fermée d'un corps céleste (souvent confondue avec le masculin : une orbite).
agace;0.459;0.35;3.58;LGBT & Orientations;
10ne;0.450;0.50;0.00;Mots insolites;
12ne;0.450;0.50;0.00;Mots insolites;
15ne;0.450;0.50;0.00;Mots insolites;
20ne;0.450;0.50;0.00;Mots insolites;
30ne;0.450;0.50;0.00;Mots insolites;
40ne;0.450;0.50;0.00;Mots insolites;
50ne;0.450;0.50;0.00;Mots insolites;
60ne;0.450;0.50;0.00;Mots insolites;
abcd;0.450;0.50;0.00;Mots insolites;
analisme;0.450;0.50;0.00;LGBT & Orientations;
anuscope;0.450;0.50;0.00;LGBT & Orientations;
boudiner;0.450;0.50;0.00;LGBT & Orientations;
bougeron;0.450;0.50;0.00;LGBT & Orientations;
agenre;0.450;0.50;0.00;Graine de référence;
épisode;0.448;0.55;4.13;Genre Grammatical Confus;Événement formant un tout dans une suite d'actions (parfois confondu au féminin).
queer;0.425;0.45;0.00;Graine de référence;
8ne;0.425;0.45;0.00;Mots insolites;
9ne;0.425;0.45;0.00;Mots insolites;
babilan;0.425;0.45;0.00;LGBT & Orientations;
baisoir;0.425;0.45;0.00;LGBT & Orientations;
abandonner;0.409;0.60;4.45;LGBT & Orientations;
au lit;0.400;0.40;0.00;LGBT & Orientations;
beuteu;0.400;0.40;0.00;LGBT & Orientations;
biffle;0.400;0.40;0.00;LGBT & Orientations;
bottom;0.400;0.40;0.00;LGBT & Orientations;
à sec;0.375;0.35;0.00;LGBT & Orientations;
beteu;0.375;0.35;0.00;LGBT & Orientations;
bifle;0.375;0.35;0.00;LGBT & Orientations;
BDSM;0.350;0.30;0.00;LGBT & Orientations;
BAB;0.325;0.25;0.00;LGBT & Orientations;
bite;0.278;0.30;4.36;LGBT & Orientations;
baiser;0.216;0.40;4.92;LGBT & Orientations;
bordel;0.202;0.40;4.99;LGBT & Orientations;
amour;0.044;0.35;5.65;LGBT & Orientations;
