Mot;Pole_Semantique;Domaine_Ecriture;Registre_Tonalite;Profil_Emotionnel;Epoque;Difficulte;Difficulte_Abstraction;Pertinence
scélérat;ESPRIT_ET_CARACTERE;ROMANESQUE;TRAGIQUE_DRAMATIQUE;NEUTRE;ROMANTIQUE_19;0.030;0.600;0.50
sicaire;ESPRIT_ET_CARACTERE;ROMANESQUE;ARCHAIQUE_RECHERCHE;NEUTRE;ROMANTIQUE_19;0.464;0.300;0.50
simagrée;ESPRIT_ET_CARACTERE;THEATRE;COMIC_BURLESQUE;NEUTRE;ROMANTIQUE_19;0.030;0.600;0.50
sourcilleux;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.060;0.600;0.50
spadassin;ESPRIT_ET_CARACTERE;THEATRE;ARCHAIQUE_RECHERCHE;NEUTRE;CLASSIQUE_17_18;0.109;0.250;0.50
suzerain;ESPRIT_ET_CARACTERE;ROMANESQUE;ARCHAIQUE_RECHERCHE;NEUTRE;CLASSIQUE_17_18;0.158;0.600;0.50
sycophante;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;ARCHAIQUE_RECHERCHE;NEUTRE;ROMANTIQUE_19;0.578;0.600;0.50
taciturne;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;CLASSIQUE_17_18;0.040;0.600;0.50
thuriféraire;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.376;0.650;0.50
turpitude;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;TRAGIQUE_DRAMATIQUE;NEUTRE;ROMANTIQUE_19;0.040;0.750;0.50
urbanité;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;CLASSIQUE_17_18;0.207;0.750;0.50
valétudinaire;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.080;0.650;0.50
velléité;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.030;0.750;0.50
vergogne;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;ARCHAIQUE_RECHERCHE;NEUTRE;CLASSIQUE_17_18;0.030;0.600;0.50
viateur;ESPRIT_ET_CARACTERE;ROMANESQUE;ARCHAIQUE_RECHERCHE;NEUTRE;ROMANTIQUE_19;1.000;0.600;0.50
vilipender;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;TRAGIQUE_DRAMATIQUE;NEUTRE;ROMANTIQUE_19;0.050;0.600;0.50
vitriolique;ESPRIT_ET_CARACTERE;ROMANESQUE;TRAGIQUE_DRAMATIQUE;NEUTRE;ROMANTIQUE_19;0.701;0.650;0.50
égrotant;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.323;0.600;0.50
érémitique;ESPRIT_ET_CARACTERE;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.981;0.650;0.50
aurore;NATURE_ET_COSMOS;POESIE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.010;0.415;0.50
clair-obscur;ARTS_ET_LANGAGE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.070;0.500;0.50
coruscant;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.040;0.200;0.50
crépuscule;NATURE_ET_COSMOS;POESIE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.050;0.478;0.50
diaphane;NATURE_ET_COSMOS;POESIE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.030;0.050;0.50
exsangue;SENTIMENTS_ET_PSYCHE;ROMANESQUE;TRAGIQUE_DRAMATIQUE;NEGATIF_CALME;ROMANTIQUE_19;0.030;0.750;0.50
fuligineux;PHILOSOPHIE_ET_IDEES;ROMANESQUE;TRAGIQUE_DRAMATIQUE;NEUTRE;ROMANTIQUE_19;0.050;0.850;0.50
incandescent;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.070;0.200;0.50
irisé;NATURE_ET_COSMOS;POESIE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.081;0.200;0.50
luminescence;NATURE_ET_COSMOS;ROMANESQUE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.494;0.200;0.50
nimbe;ARTS_ET_LANGAGE;ROMANESQUE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.000;0.500;0.50
opalin;NATURE_ET_COSMOS;POESIE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.244;0.200;0.50
phosphorescence;NATURE_ET_COSMOS;ROMANESQUE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.248;0.200;0.50
purpurine;ARTS_ET_LANGAGE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.588;0.500;0.50
pénombre;NATURE_ET_COSMOS;ROMANESQUE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.030;0.050;0.50
ténébreux;SENTIMENTS_ET_PSYCHE;ROMANESQUE;TRAGIQUE_DRAMATIQUE;NEUTRE;ROMANTIQUE_19;0.040;0.750;0.50
vespéral;NATURE_ET_COSMOS;POESIE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.404;0.200;0.50
alcyon;NATURE_ET_COSMOS;ROMANESQUE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.010;0.000;0.50
améthyste;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.040;0.050;0.50
arachnéen;NATURE_ET_COSMOS;ROMANESQUE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.040;0.200;0.50
auréole;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.020;0.050;0.50
azur;NATURE_ET_COSMOS;POESIE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.000;0.200;0.50
bocage;NATURE_ET_COSMOS;ROMANESQUE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.010;0.050;0.50
brume;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.000;0.050;0.50
bucolique;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.040;0.100;0.50
chrysanthème;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.070;0.000;0.50
chthonien;NATURE_ET_COSMOS;ROMANESQUE;ARCHAIQUE_RECHERCHE;NEUTRE;ROMANTIQUE_19;0.774;0.200;0.50
constellation;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.080;0.000;0.50
corolle;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.020;0.000;0.50
céleste;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.020;0.050;0.50
céruléen;NATURE_ET_COSMOS;POESIE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.040;0.200;0.50
dryade;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.511;0.000;0.50
effluve;NATURE_ET_COSMOS;POESIE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.020;0.050;0.50
empyrée;NATURE_ET_COSMOS;POESIE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.062;0.050;0.50
firmament;NATURE_ET_COSMOS;POESIE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.040;0.558;0.50
héliotrope;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.050;0.050;0.50
inflorescence;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.576;0.200;0.50
labyrinthe;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.050;0.130;0.50
limpide;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;POSITIF_CALME;ROMANTIQUE_19;0.020;0.050;0.50
lustral;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;POSITIF_CALME;ROMANTIQUE_19;0.121;0.200;0.50
nadir;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.000;0.200;0.50
nymphe;NATURE_ET_COSMOS;POESIE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.010;0.000;0.50
nébuleux;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.030;0.200;0.50
ondine;NATURE_ET_COSMOS;POESIE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.010;0.000;0.50
ondée;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.000;0.050;0.50
oscillation;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.060;0.200;0.50
parvis;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.010;0.000;0.50
pistil;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.010;0.000;0.50
pittoresque;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.060;0.050;0.50
périgée;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.020;0.050;0.50
pétale;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.010;0.137;0.50
pétrichor;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.724;0.200;0.50
sidéral;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.020;0.200;0.50
sillage;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.020;0.750;0.50
solstice;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.030;0.000;0.50
sylphide;NATURE_ET_COSMOS;POESIE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.489;0.000;0.50
sépale;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.379;0.000;0.50
tumulte;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEGATIF_EXCITANT;ROMANTIQUE_19;0.020;0.837;0.50
villégiature;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.070;0.050;0.50
zodiaque;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.030;0.000;0.50
zénith;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.010;0.200;0.50
zéphyr;NATURE_ET_COSMOS;POESIE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.010;0.200;0.50
éolien;NATURE_ET_COSMOS;POESIE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.010;0.200;0.50
équinoxe;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.030;0.050;0.50
étamine;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.020;0.783;0.50
éthéré;NATURE_ET_COSMOS;ROMANESQUE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.010;0.200;0.50
abscons;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.020;0.850;0.50
ambiguïté;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.040;0.838;0.50
anathème;PHILOSOPHIE_ET_IDEES;ROMANESQUE;TRAGIQUE_DRAMATIQUE;NEUTRE;ROMANTIQUE_19;0.030;0.850;0.50
apostasie;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.040;0.850;0.50
casuistique;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.060;0.900;0.50
chimère;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.020;0.850;0.50
conjecture;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.050;0.850;0.50
contingence;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.125;1.000;0.50
cryptique;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.639;0.900;0.50
dirimant;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.406;0.850;0.50
dogme;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.000;0.850;0.50
haruspice;PHILOSOPHIE_ET_IDEES;ROMANESQUE;ARCHAIQUE_RECHERCHE;NEUTRE;CLASSIQUE_17_18;0.974;0.850;0.50
hermétique;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.050;0.900;0.50
heuristique;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.177;0.900;0.50
imbrication;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.309;1.000;0.50
immanence;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.591;1.000;0.50
infrangible;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.130;0.850;0.50
intrinsèque;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.060;0.850;0.50
maxime;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;CLASSIQUE_17_18;0.010;0.850;0.50
métaphysique;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.070;0.900;0.50
noumène;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.597;0.850;0.50
némésis;PHILOSOPHIE_ET_IDEES;ROMANESQUE;TRAGIQUE_DRAMATIQUE;NEUTRE;ROMANTIQUE_19;0.729;0.850;0.50
obsidional;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.347;0.850;0.50
onirique;PHILOSOPHIE_ET_IDEES;ROMANESQUE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.030;0.900;0.50
ontologie;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.217;1.000;0.50
ontologique;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.060;0.900;0.50
paradigme;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.040;0.850;0.50
présage;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.020;0.850;0.50
pythonisse;PHILOSOPHIE_ET_IDEES;ROMANESQUE;ARCHAIQUE_RECHERCHE;NEUTRE;ROMANTIQUE_19;0.361;0.850;0.50
quintessence;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.070;1.000;0.50
scholastique;PHILOSOPHIE_ET_IDEES;ROMANESQUE;ARCHAIQUE_RECHERCHE;NEUTRE;CLASSIQUE_17_18;1.000;0.900;0.50
sibyllin;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.030;0.850;0.50
solipsisme;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.921;1.000;0.50
sophisme;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.148;1.000;0.50
stigmate;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.030;0.850;0.50
stoïque;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.020;0.850;0.50
substantifique;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.518;0.900;0.50
syllogisme;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.361;1.000;0.50
syncrétisme;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.477;1.000;0.50
synesthésie;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.644;0.850;0.50
sérendipité;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.731;1.000;0.50
thaumaturge;PHILOSOPHIE_ET_IDEES;ROMANESQUE;ARCHAIQUE_RECHERCHE;NEUTRE;ROMANTIQUE_19;0.199;0.850;0.50
transcendance;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.114;1.000;0.50
truisme;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.139;1.000;0.50
téléologique;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.835;0.900;0.50
éclectisme;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.428;1.000;0.50
énigmatique;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.060;0.900;0.50
épicurien;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.040;0.850;0.50
ésotérique;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.050;0.900;0.50
abattement;SENTIMENTS_ET_PSYCHE;ROMANESQUE;TRAGIQUE_DRAMATIQUE;NEGATIF_CALME;ROMANTIQUE_19;0.050;0.750;0.50
abnégation;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.050;0.900;0.50
aboulie;SENTIMENTS_ET_PSYCHE;ROMANESQUE;ARCHAIQUE_RECHERCHE;NEUTRE;ROMANTIQUE_19;0.393;0.750;0.50
accablement;SENTIMENTS_ET_PSYCHE;ROMANESQUE;TRAGIQUE_DRAMATIQUE;NEGATIF_CALME;ROMANTIQUE_19;0.060;0.750;0.50
affliction;SENTIMENTS_ET_PSYCHE;ROMANESQUE;TRAGIQUE_DRAMATIQUE;NEGATIF_CALME;ROMANTIQUE_19;0.050;0.900;0.50
alacrité;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;POSITIF_EXCITANT;ROMANTIQUE_19;0.030;0.900;0.50
allégresse;SENTIMENTS_ET_PSYCHE;ROMANESQUE;POETIQUE_LYRIQUE;POSITIF_EXCITANT;ROMANTIQUE_19;0.050;0.807;0.50
anémie;SENTIMENTS_ET_PSYCHE;ROMANESQUE;TRAGIQUE_DRAMATIQUE;NEUTRE;ROMANTIQUE_19;0.010;0.750;0.50
apathie;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEGATIF_CALME;ROMANTIQUE_19;0.020;0.750;0.50
ataraxie;SENTIMENTS_ET_PSYCHE;ESSAI_PHILOSOPHIQUE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.035;0.750;0.50
atone;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.000;0.750;0.50
bannissement;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.070;0.750;0.50
chagrin;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.020;0.522;0.50
claustration;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.070;0.900;0.50
commisération;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.080;0.900;0.50
concorde;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.030;0.750;0.50
consternation;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.080;0.900;0.50
cors;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.000;0.667;0.50
courroux;SENTIMENTS_ET_PSYCHE;THEATRE;TRAGIQUE_DRAMATIQUE;NEGATIF_EXCITANT;CLASSIQUE_17_18;0.030;0.750;0.50
cénesthésie;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;1.000;0.750;0.50
dilection;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.089;0.900;0.50
dolent;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.060;0.750;0.50
désabusé;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEGATIF_CALME;ROMANTIQUE_19;0.030;0.750;0.50
effervescence;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;POSITIF_EXCITANT;ROMANTIQUE_19;0.080;0.900;0.50
exaltation;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;POSITIF_EXCITANT;ROMANTIQUE_19;0.050;0.773;0.50
extase;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;POSITIF_EXCITANT;ROMANTIQUE_19;0.010;0.677;0.50
ferveur;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;POSITIF_EXCITANT;ROMANTIQUE_19;0.020;0.795;0.50
fielueux;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;1.000;0.750;0.50
félicité;SENTIMENTS_ET_PSYCHE;ROMANESQUE;POETIQUE_LYRIQUE;POSITIF_CALME;ROMANTIQUE_19;0.030;0.900;0.50
heur;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.000;0.750;0.50
hypocondrie;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.060;0.750;0.50
idylle;SENTIMENTS_ET_PSYCHE;ROMANESQUE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.010;0.750;0.50
indolence;SENTIMENTS_ET_PSYCHE;ROMANESQUE;POETIQUE_LYRIQUE;NEGATIF_CALME;ROMANTIQUE_19;0.040;0.900;0.50
inextinguible;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.080;0.750;0.50
inimitié;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.030;0.750;0.50
insatiable;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.050;0.750;0.50
insouciance;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.060;0.900;0.50
jubilation;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;POSITIF_EXCITANT;ROMANTIQUE_19;0.050;0.900;0.50
langoureux;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.050;0.750;0.50
langueur;SENTIMENTS_ET_PSYCHE;ROMANESQUE;POETIQUE_LYRIQUE;NEGATIF_CALME;ROMANTIQUE_19;0.030;0.750;0.50
