Mot;Pole_Semantique;Domaine_Ecriture;Registre_Tonalite;Profil_Emotionnel;Epoque;Difficulte;Pertinence
turpitude;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;TRAGIQUE_DRAMATIQUE;NEUTRE;ROMANTIQUE_19;0.683;0.50
urbanité;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;CLASSIQUE_17_18;0.663;0.50
valétudinaire;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.919;0.50
velléité;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.456;0.50
vergogne;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;ARCHAIQUE_RECHERCHE;NEUTRE;CLASSIQUE_17_18;0.307;0.50
viateur;ESPRIT_ET_CARACTERE;ROMANESQUE;ARCHAIQUE_RECHERCHE;NEUTRE;ROMANTIQUE_19;0.790;0.50
vilipender;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;TRAGIQUE_DRAMATIQUE;NEUTRE;ROMANTIQUE_19;0.859;0.50
vitriolique;ESPRIT_ET_CARACTERE;ROMANESQUE;TRAGIQUE_DRAMATIQUE;NEUTRE;ROMANTIQUE_19;1.000;0.50
égrotant;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.774;0.50
érémitique;ESPRIT_ET_CARACTERE;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.950;0.50
aurore;NATURE_ET_COSMOS;POESIE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.137;0.50
clair-obscur;ARTS_ET_LANGAGE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.529;0.50
coruscant;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.861;0.50
crépuscule;NATURE_ET_COSMOS;POESIE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.100;0.50
diaphane;NATURE_ET_COSMOS;POESIE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.414;0.50
exsangue;SENTIMENTS_ET_PSYCHE;ROMANESQUE;TRAGIQUE_DRAMATIQUE;NEGATIF_CALME;ROMANTIQUE_19;0.412;0.50
fuligineux;PHILOSOPHIE_ET_IDEES;ROMANESQUE;TRAGIQUE_DRAMATIQUE;NEUTRE;ROMANTIQUE_19;0.602;0.50
incandescent;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.500;0.50
irisé;NATURE_ET_COSMOS;POESIE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.541;0.50
luminescence;NATURE_ET_COSMOS;ROMANESQUE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.909;0.50
nimbe;ARTS_ET_LANGAGE;ROMANESQUE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.497;0.50
opalin;NATURE_ET_COSMOS;POESIE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.623;0.50
phosphorescence;NATURE_ET_COSMOS;ROMANESQUE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.674;0.50
purpurine;ARTS_ET_LANGAGE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.849;0.50
pénombre;NATURE_ET_COSMOS;ROMANESQUE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.060;0.50
ténébreux;SENTIMENTS_ET_PSYCHE;ROMANESQUE;TRAGIQUE_DRAMATIQUE;NEUTRE;ROMANTIQUE_19;0.356;0.50
vespéral;NATURE_ET_COSMOS;POESIE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.937;0.50
alcyon;NATURE_ET_COSMOS;ROMANESQUE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.611;0.50
améthyste;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.711;0.50
arachnéen;NATURE_ET_COSMOS;ROMANESQUE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.794;0.50
auréole;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.261;0.50
azur;NATURE_ET_COSMOS;POESIE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.142;0.50
bocage;NATURE_ET_COSMOS;ROMANESQUE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.342;0.50
brume;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.000;0.50
bucolique;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.652;0.50
chrysanthème;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.904;0.50
chthonien;NATURE_ET_COSMOS;ROMANESQUE;ARCHAIQUE_RECHERCHE;NEUTRE;ROMANTIQUE_19;0.830;0.50
constellation;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.516;0.50
corolle;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.394;0.50
céleste;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.231;0.50
céruléen;NATURE_ET_COSMOS;POESIE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.641;0.50
dryade;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.947;0.50
effluve;NATURE_ET_COSMOS;POESIE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.581;0.50
empyrée;NATURE_ET_COSMOS;POESIE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.601;0.50
firmament;NATURE_ET_COSMOS;POESIE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.434;0.50
héliotrope;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.767;0.50
inflorescence;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;1.000;0.50
labyrinthe;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.312;0.50
limpide;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;POSITIF_CALME;ROMANTIQUE_19;0.149;0.50
lustral;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;POSITIF_CALME;ROMANTIQUE_19;0.551;0.50
nadir;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.714;0.50
nymphe;NATURE_ET_COSMOS;POESIE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.447;0.50
nébuleux;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.634;0.50
ondine;NATURE_ET_COSMOS;POESIE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.652;0.50
ondée;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.371;0.50
oscillation;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.704;0.50
parvis;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.199;0.50
pistil;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.601;0.50
pittoresque;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.260;0.50
périgée;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.917;0.50
pétale;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.430;0.50
pétrichor;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.830;0.50
sidéral;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.643;0.50
sillage;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.146;0.50
solstice;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.486;0.50
sylphide;NATURE_ET_COSMOS;POESIE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.987;0.50
sépale;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;1.000;0.50
tumulte;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEGATIF_EXCITANT;ROMANTIQUE_19;0.118;0.50
villégiature;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.485;0.50
zodiaque;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.634;0.50
zénith;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.345;0.50
zéphyr;NATURE_ET_COSMOS;POESIE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.651;0.50
éolien;NATURE_ET_COSMOS;POESIE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.430;0.50
équinoxe;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.432;0.50
étamine;NATURE_ET_COSMOS;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.581;0.50
éthéré;NATURE_ET_COSMOS;ROMANESQUE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.687;0.50
abscons;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.600;0.50
ambiguïté;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.382;0.50
anathème;PHILOSOPHIE_ET_IDEES;ROMANESQUE;TRAGIQUE_DRAMATIQUE;NEUTRE;ROMANTIQUE_19;0.512;0.50
apostasie;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.683;0.50
casuistique;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.777;0.50
chimère;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.380;0.50
conjecture;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.736;0.50
contingence;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.887;0.50
cryptique;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;1.000;0.50
dirimant;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.937;0.50
dogme;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.418;0.50
haruspice;PHILOSOPHIE_ET_IDEES;ROMANESQUE;ARCHAIQUE_RECHERCHE;NEUTRE;CLASSIQUE_17_18;0.830;0.50
hermétique;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.560;0.50
heuristique;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;1.000;0.50
imbrication;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.801;0.50
immanence;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.957;0.50
infrangible;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.787;0.50
intrinsèque;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.723;0.50
maxime;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;CLASSIQUE_17_18;0.503;0.50
métaphysique;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.442;0.50
noumène;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.917;0.50
némésis;PHILOSOPHIE_ET_IDEES;ROMANESQUE;TRAGIQUE_DRAMATIQUE;NEUTRE;ROMANTIQUE_19;0.790;0.50
obsidional;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.977;0.50
onirique;PHILOSOPHIE_ET_IDEES;ROMANESQUE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.792;0.50
ontologie;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.949;0.50
ontologique;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.852;0.50
paradigme;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;MODERNE_20;0.849;0.50
présage;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.325;0.50
pythonisse;PHILOSOPHIE_ET_IDEES;ROMANESQUE;ARCHAIQUE_RECHERCHE;NEUTRE;ROMANTIQUE_19;0.864;0.50
quintessence;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.573;0.50
scholastique;PHILOSOPHIE_ET_IDEES;ROMANESQUE;ARCHAIQUE_RECHERCHE;NEUTRE;CLASSIQUE_17_18;0.990;0.50
sibyllin;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.582;0.50
solipsisme;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;1.000;0.50
sophisme;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.816;0.50
stigmate;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.727;0.50
stoïque;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.492;0.50
substantifique;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.964;0.50
syllogisme;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;1.000;0.50
syncrétisme;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;1.000;0.50
synesthésie;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;MODERNE_20;1.000;0.50
sérendipité;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;MODERNE_20;0.870;0.50
thaumaturge;PHILOSOPHIE_ET_IDEES;ROMANESQUE;ARCHAIQUE_RECHERCHE;NEUTRE;ROMANTIQUE_19;0.752;0.50
transcendance;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.691;0.50
truisme;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.909;0.50
téléologique;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;1.000;0.50
éclectisme;PHILOSOPHIE_ET_IDEES;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.914;0.50
énigmatique;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.410;0.50
épicurien;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.640;0.50
ésotérique;PHILOSOPHIE_ET_IDEES;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.724;0.50
abattement;SENTIMENTS_ET_PSYCHE;ROMANESQUE;TRAGIQUE_DRAMATIQUE;NEGATIF_CALME;ROMANTIQUE_19;0.431;0.50
abnégation;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.466;0.50
aboulie;SENTIMENTS_ET_PSYCHE;ROMANESQUE;ARCHAIQUE_RECHERCHE;NEUTRE;ROMANTIQUE_19;0.809;0.50
accablement;SENTIMENTS_ET_PSYCHE;ROMANESQUE;TRAGIQUE_DRAMATIQUE;NEGATIF_CALME;ROMANTIQUE_19;0.386;0.50
affliction;SENTIMENTS_ET_PSYCHE;ROMANESQUE;TRAGIQUE_DRAMATIQUE;NEGATIF_CALME;ROMANTIQUE_19;0.422;0.50
alacrité;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;POSITIF_EXCITANT;ROMANTIQUE_19;0.601;0.50
allégresse;SENTIMENTS_ET_PSYCHE;ROMANESQUE;POETIQUE_LYRIQUE;POSITIF_EXCITANT;ROMANTIQUE_19;0.181;0.50
anémie;SENTIMENTS_ET_PSYCHE;ROMANESQUE;TRAGIQUE_DRAMATIQUE;NEUTRE;ROMANTIQUE_19;0.440;0.50
apathie;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEGATIF_CALME;MODERNE_20;0.442;0.50
ataraxie;SENTIMENTS_ET_PSYCHE;ESSAI_PHILOSOPHIQUE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.987;0.50
atone;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.511;0.50
bannissement;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.686;0.50
chagrin;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.040;0.50
claustration;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.703;0.50
commisération;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.572;0.50
concorde;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.444;0.50
consternation;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.480;0.50
cors;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.396;0.50
courroux;SENTIMENTS_ET_PSYCHE;THEATRE;TRAGIQUE_DRAMATIQUE;NEGATIF_EXCITANT;CLASSIQUE_17_18;0.378;0.50
cénesthésie;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.870;0.50
dilection;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.640;0.50
dolent;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.544;0.50
désabusé;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEGATIF_CALME;ROMANTIQUE_19;0.299;0.50
effervescence;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;POSITIF_EXCITANT;ROMANTIQUE_19;0.408;0.50
exaltation;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;POSITIF_EXCITANT;ROMANTIQUE_19;0.294;0.50
extase;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;POSITIF_EXCITANT;ROMANTIQUE_19;0.169;0.50
ferveur;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;POSITIF_EXCITANT;ROMANTIQUE_19;0.138;0.50
fielueux;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.860;0.50
félicité;SENTIMENTS_ET_PSYCHE;ROMANESQUE;POETIQUE_LYRIQUE;POSITIF_CALME;ROMANTIQUE_19;0.286;0.50
heur;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.603;0.50
hypocondrie;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.837;0.50
idylle;SENTIMENTS_ET_PSYCHE;ROMANESQUE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.380;0.50
indolence;SENTIMENTS_ET_PSYCHE;ROMANESQUE;POETIQUE_LYRIQUE;NEGATIF_CALME;ROMANTIQUE_19;0.402;0.50
inextinguible;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.711;0.50
inimitié;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.571;0.50
insatiable;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.402;0.50
insouciance;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.264;0.50
jubilation;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;POSITIF_EXCITANT;ROMANTIQUE_19;0.376;0.50
langoureux;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.533;0.50
langueur;SENTIMENTS_ET_PSYCHE;ROMANESQUE;POETIQUE_LYRIQUE;NEGATIF_CALME;ROMANTIQUE_19;0.318;0.50
lascif;SENTIMENTS_ET_PSYCHE;ROMANESQUE;POETIQUE_LYRIQUE;NEGATIF_CALME;ROMANTIQUE_19;0.531;0.50
léthargie;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEGATIF_CALME;ROMANTIQUE_19;0.430;0.50
miséricorde;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.248;0.50
morose;SENTIMENTS_ET_PSYCHE;ROMANESQUE;TRAGIQUE_DRAMATIQUE;NEGATIF_CALME;ROMANTIQUE_19;0.177;0.50
mélancolie;SENTIMENTS_ET_PSYCHE;ROMANESQUE;POETIQUE_LYRIQUE;NEGATIF_CALME;ROMANTIQUE_19;0.100;0.50
neurasthénie;SENTIMENTS_ET_PSYCHE;ROMANESQUE;TRAGIQUE_DRAMATIQUE;NEGATIF_CALME;MODERNE_20;0.566;0.50
neurasthénique;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.722;0.50
nostalgie;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.096;0.50
nostalgique;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.470;0.50
noévie;SENTIMENTS_ET_PSYCHE;ROMANESQUE;ARCHAIQUE_RECHERCHE;NEUTRE;ROMANTIQUE_19;0.770;0.50
parapathique;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.990;0.50
paresthésie;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;1.000;0.50
perplexité;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.376;0.50
placidité;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;POSITIF_CALME;ROMANTIQUE_19;0.434;0.50
pétulant;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;POSITIF_EXCITANT;ROMANTIQUE_19;0.774;0.50
quiétude;SENTIMENTS_ET_PSYCHE;ROMANESQUE;POETIQUE_LYRIQUE;POSITIF_CALME;ROMANTIQUE_19;0.272;0.50
résilience;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;MODERNE_20;1.000;0.50
solitaire;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.080;0.50
somatisation;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.990;0.50
